абажур|колпак для лампы, светильника
агрессия|незаконное с точки зрения международного права применение вооруженной силы одним государством против суверенитета, территориальной неприкосновенности или политической независимости другого государства
агрессор|тот, кто производит агрессию
агроном|специалист по агрономии
ад|В религиозных представлениях:место, где души грешников после смерти предаются вечным мукам
адаптация|упрощение текста для малоподготовленных читателей
адвокат|юрист, которому поручается оказание юридической помощи гражданам и организациям в том числе защита чьих-нибудь интересов в суде, защитник
адепт|приверженец, последователь какого-нибудь учения
адмирал|звание или чин высшего командного состава военно-морских сил
адрес|письменное приветствие в ознаменование юбилея или какого-нибудь другого события
адресат|тот, кому адресовано письмо, телеграмма, почтовое отправление
адъютант|офицер (в Советской Армии также прапорщик, мичман), состоящий при военном начальнике для выполнения служебных поручений или для выполнения штабной работы
ажиотаж|В буржуазном обществе:искусственное, спекулятивное повышение или понижение курса биржевых бумаг или цен на товары с целью извлечения прибыли
ажур|В бухгалтерии:такое ведение дел, при котором каждая операция регистрируется немедленно после ее совершения
аз|старинное название буквы "а"
азалия|декоративное кустарниковое растение семейства вересковых с розовыми, белыми, желтыми или красными цветками
азарт|сильное возбуждение, задор, увлечение
азбука|основные, простейшие начала какой-нибудь науки, дела
азимут|угол между плоскостью меридиана точки наблюдения и вертикальной плоскостью, проходящей через эту точку и наблюдаемый объект
азот|химический элемент, газ без цвета и запаха, главная составная часть воздуха, входящий также в состав белков и нуклеиновых кислот
аист|крупная перелетная птица с длинным прямым клювом из отряда голенастых
айсберг|отколовшийся от ледника дрейфующий ледяной массив с глубоко погруженной подводной частью
академия|высшее научное или художественное учреждение
акация|Роддеревьев и кустарников семейства мимозовых
акваланг|аппарат для дыхания под водой при погружении человека на сравнительно небольшуюглубину
акварель|прозрачные, обычно клеевые краски, разводимые на воде
аквариум|искусственный водоем или стеклянная емкость с водой для содержания рыб, водных животных и растений
акватория|поверхность водного пространства, водоема, водный участок
акведук|мостовое сооружение с каналом (или трубопроводом) для подачи воды через овраг, реку
аккорд|сочетание нескольких музыкальных звуков различной высоты, воспринимаемых как зв уковое единство
аккордеон|разновидность большой гармоники с клавиатурой фортепьянного типа для правой руки
акр|земельная мера в некоторых странах, равная 4047 квадратным метрам
акробат|цирковой гимнаст
аксессуар|принадлежность чего-либо, сопутствующий чему-либо предмет
акт|В некоторых учебных заведениях:торжественное собрание (по поводу выпуска, вручения наград)
актер|артист - исполнитель ролей в театральных представлениях, в кино, телевидении
актерство|профессия актера
актив|наиболее деятельная часть организации, коллектива
активист|тот, кто принадлежит к активу-1, деятельный член какого-нибудь коллектива
акула|крупная хищная морская рыба
акцент|особенности выговора, свойственные говорящему не на своем родном языке
акционер|владелец акций 1, совладелец акционерного предприятия
акция|ценная бумага, свидетельствующая о взносе определенного пая в предприятие, дающая ее владельцу право участия в прибылях
алгебра|раздел математики, изучающий такие каличества величин, которые вытекают из отноше ний между величинами и не зависят от их природы
алгоритм|совокупность действий, правил для решения данной задачи
алебарда|старинное оружие - фигурный топорик на длинном древке
алиби|нахождение обвиняемого в момент, когда совершалось преступление, в другом месте как докажательство непричастности его к преступлению
алименты|материальное обеспечение, по закону предоставляемое родственником нетрудоспособ ному члену семьи, детям
алкоголик|человек страдающий алкоголизмом
алкоголь|вообще вино, спиртные напитки
аллах|В исламе:бог
аллегория|иносказание, выражение чего-нибудь отвлеченного, какой-нибудь мысли, идеи в конкретном образе
аллерген|чуждое организму вещество, вызывающее аллергию
аллергия|измененная реактивность организма, вызываемая какими-нибудь чуждыми организму вещес твами и выражающаяся различными болезненными состояниями
аллея|дорога (в саду, парке) с рядами деревьев, посаженных по обеим ее сторонам
аллигатор|американский и восточноазиатский крокодил
алмаз|инструмент для резки стекла в виде острого куска этого камня, вделанного в р укоятку
алоэ|южное растение семейства лилейных с толстыми мясистыми листьями, разводимое у нас в комнатных условиях как лекарственное или декоративное
алтарь|восточная возвышенная часть христианского храма (в православной церкви отделенная от общего помещения иконостасом)
алтын|  В старину:три копейки
алфавит|совокупность букв или других значков данной системы письма
алхимик|человек, занимающийся алхимией
алыча|южное плодовое дерево, родственное сливе
альбатрос|большая океаническая птица отряда буревестников
альбинос|живое существо, волосяной (перьевой, шерстный) покров которого лишен пигментов
альбом|собрание рисунков, репродукций, чертежей в виде книги, папки
альманах|непереодический литературный сборник произведений различных писателей
альпинизм|вид спорта - восхождение на труднодоступные горные вершины
альпинист|спортсмен, занимающийся альпинизмом, горовосходитель
альт|музыкальный смычковый инструмент несколько больше скрипки
альфа|Названиепервой буквы греческого алфавита
альянс|союз, объединение
алюминий|химический элемент, серебристо-белый легкий ковкий металл, получаемый электроли зом глинозема
амазонка|женское платье для верховой езды
амбар|строение для хранения зерна, муки, припасов, а также товаров
амбиция|обостренное самолюбие
амеба|простейшее одноклеточное животное
аммиак|бесцветный газ с едким запахом, соединение азота с водородом
аммоний|не существущщее в свободном виде соединение атомов азота и водорода, обладающее химическими свойствами металлов
амнистия|частичное или полное освобождение от судебного наказания лиц, производимое верховной властью
амплуа|тип актерских ролей
ампула|герметически запаянный сосуд для хранения чего-нибудь
амулет|предмет, носимый на теле и считаемый магическим средством против болезни, несчастья
амуниция|снаряжение военнослужащего (кроме оружия и одежды)
анабиоз|резкое снижение жизнедеятельности организма с последующим восстановлением ее пр и благоприятных условиях
анализ|определение состава вещества
аналог|нечто сходное, подобное чему-нибудь
аналогия|сходство в каком-н отношении между явлениями, предметами, понятиями
анамнез|совокупность медицинских сведений, получаемых путем опроса обследуемого, знающих его лиц
ананас|тропическое растение с крупным, овальной формы, ароматным и сочным толстокожим плодом
анархист|сторонник анархизма, член анархической организации
анархия|стихийность в осуществлении чего-нибудь, отсутствие организации, полный беспорядок
анатомия|наука о строении организмов
ангар|специальное помещение для стоянки и текущего ремонта самолетов, вертолетов, дир ижаблей
ангел|Ласковое. (устар. разг.).    к кому-н.+
ангина|острое инфекционное заболевание - воспаление небных миндалин, слизистой оболочки зева
анекдот|очень маленький рассказ с забавным, смешным содержанием и неожиданным острым концом
анилин|органическое соединение - маслянистая жидкость, употребляемая при производстве красителей, лекарств, пластмасс, взрывчатых веществ
анкета|опросный лист для получения каких-н сведений о том, кто его заполняет
анналы|летопись (у некоторых древних народов)
аннотация|краткое изложение содержания книги, статьи и т.п.
анод|положительный электрод
аномалия|отклонение от нормы, общей закономерности, неправильность
анонимка|анонимное письмо, сообщающее что-нибудь обидное, неприятное, разоблачающее кого-нибудь
ансамбль|согласованность, стройность частей единого целого
антенна|часть радио- и телевизионной установки, служащая для излучения радиоволн при передаче или для улавливания их при приеме
антиквар|любитель или продавец антикварных предметов
антипатия|чувство неприязни, нерасположения к кому-нибудь
антипод|человек, противоположный кому-нибудь по убеждениям, свойствам, вкусам
антисемит|сторонник антисемитизма
антихрист|(устар. прост.).      Употр. как бранное слово+
антология|сборник избранных художественных произведений разных авторов
антракт|краткий перерыв между действиями спектакля или отделениями концерта, циркового представления, какого-либо зрелища
анфилада|длинный сквозной ряд комнат в общественных зданиях, дворцах, больших домах
аорта|главная, самая крупная артерия, питающая артериальной кровью все ткани и органы тела
апатия|состояние полного безразличия, равнодушия
апельсин|цитрусовое дерево
апломб|излишняя самоуверенность в поведении, в речи
апогей|высшая степень, расцвет чего-нибудь (книжн)
апокриф|произведение иудейской или раннехристианской литературы на библейскую тему, не включенное в канонический текст Библии и отвергаемое церквью как недостоверное
апостол|богослужебная книга, содержащая "деяния" и "Послания апостолов"
аппарат|совокупность учреждений, обслуживающих какую-нибудь отрасль управления, хозяйства
аппендикс|червеобразный отросток слепой кишки
аппетит|желание есть
апрель|четвертый месяц календарного года
аптека|учреждение, в котором продаются (или изготовляются и продаются) лекарства, лечебные средства, предметы санитарии и гигиены
аптекарь|специалист - работник аптеки
ар|единица земельной площади, равная 100 кв. м
арап|стар.чернокожий, темнокожий человек, негр
арат|В Монголии:крестьянин-скотовод
арба|телега (двухколесная - в Крыму, на Кавказе и в Средней Азии или длинная четырехколесная - на Украине)
арбалет|старинное ручное метательное оружие в форме лука
арбитр|посредник в спорах, третейский судья
арбуз|бахчевое растение семейства тыквенных с большими шарообразными сладкими плодами
аргумент|В математике:независимая переменная величина, изменением которой определяется изменение величины (функции)
ареал|область распространения чего-либо на земной поверхности, на какой-нибудь территории
арена|часть стадиона, на которой происходят спортивные состязания
аренда|наем помещения, земельной площади, какого-нибудь имущества, предприятия во временное пользование
арендатор|лицо, которое арендует что-нибудь
арест|запрещение распоряжаться имуществом, налагаемое судебными органами
арестант|человек, который содержится под арестом
аритмия|нарушение сердечного ритма, перебои
ария|партия для голоса (в опере, оперетте, оратории или кантате) или для инструмента
арка|дугообразное перекрытие проема в стене или пролета между двумя опорами
аркан|длинная веревка с затягивающейся петлей на конце для ловли животных
арктика|северная полярная область земного шара: окраины материков Евразии и Северной Америки с прилегающими островами, Северным Ледовитым океаном и участками других океанов
арлекин|традиционный персонаж итальянской "комедии масок", паяц, ш
армада|большое соединение кораблей, самолетов, танков
арматура|вспомогательные устройства и детали, необходимые для обеспечения работы основного оборудования
армия|вооруженные силы государства
аромат|душистый, приятный запах
арсенал|предприятие, изготовляющее оружие и военное снаряжение
артель|основная форма социалистического производственного объединения граждан для в едения коллективного хозяйства на базе обобществления средств производства
артерия|кровеносный сосуд, проводящий кровь от сердца ко всем органам и тканям тела
артист|творческий работник, занимающийся публичным исполнением произведений искусства (актер, певец, музыкант)
артрит|воспаление сустава, суставов
арфа|щипковый музыкальный инструмент в виде большой треугольной рамы с натянутыми внутри нее струнами
архангел|В христианстве:ангел, относящийся к одному из высших ангельских ликов 2
архаровец|буян, головорез
археолог|специалист по археологии
архив|собрание рукописей, писем и т. п., относящихся к деятельности какого-нибудь учреждения, лица
архиерей|Общее названиевысших  чинов  православного  духовенства (епископа, архиепископа, митрополита)
архипелаг|группа близко расположенных друг к другу морских островов
аршин|старая русская мера длины, равная 0,71 м
арык|В Средней Азии, Казахстане, Закавказье:оросительный канал, канава
ас|выдающийся по летному и боевому мастерству летчик
асессор|  В царской России:гражданский чин восьмого класса
аскет|человек, который ведет аскетическую жизнь
аскетизм|строгий образ жизни с отказом жизненных благ и удовольствий
аспект|точка зрения взгляд на что-нибудь
аспид|прост. бран.злой, злобный человек
аспирант|специалист при высшем учебном заведении или научном учреждении, готовящейся к научной, научно-педагогической деятельности и к защите кандидатской диссертации
ассистент|помощник профессора, врача при выполнении ими каких-нибудь научных работ, операций
астероид|малая планета (с диаметром от 1 до 1000 км)
астма|болезнь - приступы удушья
астра|садовое декоративное растение семейства сложноцветных с крупными цветками различной окраски, обычно без запаха
астролог|человек, занимающийся астрологией
астроном|специалист по астрономии
асфальт|черная смолистая масса, употребляемая для заливки покрытий дорог, улиц, тротуаров
атака|быстрое и решительное наступление (в споре, в работе, в игре)
атаман|Названиевоенно-административных должностей в казачьих областях до революции и в казачьих войсках в старину, лицо, занимавшее одну из таких должностей
атеизм|отрицание и опровержение существования бога, отказ от религиозных верований
атеист|последователь атеизма
ателье|мастерская по шитью одежды [из первоначального названия "ателье мод"]
атлас|сборник таблиц, карт, специальных рисунков
атлет|спортсмен, занимающийся атлетической гимнастикой, атлетикой
атлетика|спортивные упражнения, требующие разносторонней физической подготовки
атмосфера|окружающие условия, обстановка
атом|мельчайшая частица химического элемента, состоящая из ядра и электронов
атрофия|уменьшение какого-либо органа, потеря им жизнеспособности
атташе|должностное лицо при дипломатическом представительстве, являющееся специалистом -консультантом в какой-нибудь области
аттестат|документ, удостоверяющий породистость животного
аудиенция|официальный прием у высокопоставленного лица
аудитория|помещение для чтения лекций
аукцион|публичная распродажа, при которой покупателем становится тот, кто предложит более высокую цену
аул|(на Кавказе, в Средней Азии).селение
аут|В спортивных играх:положение, когда мяч (шайба) оказывается за пределами игрового поля, площадки
аутсайдер|спортсмен или спортивная команда, занимающие в соревновании одно из последних мест и не имеющие шансов на победу
афера|недобросовестное, мошенническое предприятие, дело, действие
аферист|человек, который занимается аферами
афиша|объявление о спектакле, концерте, кинофильме, лекции
афоризм|краткое выразительное изречение, содержащее обобщающее умозаключение
аффект|состояние сильного возбуждения и потери самоконтроля
ахинея|вздор, бессмыслица
ацетон|бесцветная горючая жидкость, употребляемая в технике и медицине, а также как растворитель
аэродром|комплекс сооружений и технических средств, предназначенный для взлета, посадки стоянки и обслуживания самолетов, вертолетов и планеров
аэропорт|крупная станция воздушного транспорта с большим аэродромом, воздушный порт
баба|(иногда с пренебр. или шутл. оттенком, прост.).вообще о женщине
бабенка|молодая бойкая женщина
бабник|любитель ухаживать за женщинами, волокита 2
бабочка|насекомое с двумя парами крыльев разнообразной окраски, покрытых пыльцой
бабушка|мать отца или матери
багаж|вещи, груз пассажиров, упакованные для отправки, перевозки
багажник|вместилище в автомобиле, приспособление у велосипеда, мотоцикла для перевозки поклажи
багор|шест с металлическим крюком и острием
бадья|широкое низкое ведро
база|склад, место хранения товаров, материалов, продуктов
базар|место для торговли, обычно на площади
бай|В Средней Азии до революции:богатый землевладелец или скотовод
байдарка|узкая и легкая спортивная лодка без уключин, с двухлопастным веслом
байка|мягкая ворсистая хлопчатобумажная ткань
бак|носовая надстройка судна
бакен|укрепленный на якоре плавучий знак пирамидальной, конической или иной формы для обозначения фарватера и мелей
баклажан|огородное растение семейства пасленовых с продолговатым, обычно темно-фиолетовым плодом
баклан|родственная пеликану водоплавающая птица, обычно с черным оперением
бал|большой танцевальный вечер
балаболка|человек, любящий заниматься пустой болтовней, пустомеля
балаган|старинное народное театральное зрелище комического характера с примитивным сценическим оформлением
балагур|человек, который любит балагурить, шутник, весельчак
балалайка|трехструнный щипковый музыкальный инструмент с треугольной декой
баланс|соотношение взаимно связанных показателей какой-нибудь деятельности, процесса (например, прихода и расхода, производства и потребления)
балахон|просторный длинный халат
балбес|бестолковый, грубый и неотесанный человек, обалдуй
балда|бестолковый человек, дурак
балдахин|украшенный навес (например, над алтарем, троном, над кроватью, на катафалке)
балерина|артистка балета
балет|искусство сценического танца
балка|часть сооружения, машины, станка - опорный брус
балкон|верхний или средний ярус в зрительном зале
балл|цифровая отметка успехов (в учебных заведениях, в спорте)
баллада|сольное музыкальное произведение повествовательного или героико-эпического характера
балласт|груз для улучшения мореходных качеств судна, для регулирования высоты полета аэростата
баллон|шарообразный или цилиндрический сосуд специального назначения (для жидкостей, газов)
бальзам|густая душистая жидкость из растворенных в эфирных маслах смол или других растительных веществ
бамбук|высокое и гибкое тропическое и субтропическое растение, древовидный злак с крепким полым стеблем
бампер|буфер автомобиля
банан|высокое тропическое растение с большими листьями
банда|разбойная, преступная группа, шайка
бандероль|бумажная обертка в виде широкой ленты или конверта
бандит|участник банды, вооруженный грабитель
бандитизм|преступная деятельность бандитов, разбой, грабеж
банк|финансовое предприятие производящее операции со вкладами, кредитами и платежами
банка|цилиндрический сосуд
банкет|торжественный званый обед или ужин
банкрот|тот, кто оказался несостоятельным в своей деятельности, в личной жизни
бант|лента, завязанная в виде нескольких перетянутых посередине петель
баня|специальное помещение или учреждение, где моются и парятся
баптист|последователь баптизма - одной из разновидностей протестантизма
бар|Роднебольшого буфета для вин или отделение для вин в шкафу, серванте
барабан|ударный мембранный музыкальный инструмент в виде цилиндра, сверху и снизу обтянутого кожей
барак|здание легкой постройки, предназначенное для временного жилья
баран|жвачное парнокопытное дикое млекопитающее семейства полорогих с густой волнистой шерстью и изогнутыми рогами
баранина|овечье мясо как пища
барахло|о ком-чем-нибудь плохом, негодном
барбос|большая дворовая собака [по распространенной кличке]
бард|поэт и музыкант, исполнитель собственных песен
бардак|прост. презр.полный беспорядок и развал
барельеф|скульптурное изображение на плоскости, в котором фигуры слегка выступают над поверхностью
баржа|грузовое судно, обычно плоскодонное
барий|химический элемент, мягкий металл серебристого цвета
барин|  В дореволюционной России:человек из привилегированных классов (помещик, чиновник)
баритон|медный духовой музыкальный инструмент среднего регистра и тембра
барк|морское парусное судно с косыми парусами на кормовой мачте
баркас|большая гребная шлюпка
барокко|вычурный и пышный стиль в искусстве 16-18 вв
барометр|прибор для измерения атмосферного давления
барон|дворянский титул ниже графского
баррикада|заграждение из подручных материалов, служащее защитой во время уличных боев
барс|крупное хищное животное семейства кошачьих с пятнистой шерстью, леопард
барсук|хищный зверь семейства куниц с неуклюжим телом, острой мордой и с густой длинной грубой шерстью
бархан|песчаный наносный холм в степях, пустынях
бархат|плотная шелковая или хлопчатобумажная ткань с мягким гладким и густым ворсом
барыня|народная плясовая песня
барыш|прибыль, материальная выгода
барышня|девушка из барской семьи или вообще из интеллигентной среды
барьер|преграда (род стенки, перекладина), поставленная на пути (при скачках, беге)
бас|медный духовой музыкальный инструмент низкого регистра и тембра
басня|вымысел, выдумка
басок|несильный бас
бассейн|область залегания полезных ископаемых
бастион|крепостное военное укрепление пятиугольной формы
баталия|разг. шутл.шумная ссора
батальон|войсковое подразделение из трех-четырех рот и специальных взводов, обычно входящее в состав полка или бригады
батареец|военнослужащий артиллерийского расчета
батарея|артиллерийское подразделение из нескольких орудий и средств управления
батог|палка, толстый прут для телесных наказаний в старину
батон|пищевое изделие округлой и удлиненной формы
батрак|наемный сельскохозяйственный рабочий в помещичьем или кулацком хозяйстве
