brave|храбрый, смелый
assured|уверенный, застрахованный
health|здоровье
row|грести
scent|запах, духи, след, почуять, нюхать
rob|грабить, обворовывать
hemp|конопля, пенька
suppose|полагать, предполагать
rod|прут, жезл, удочка
regain|достичь
avenue|проспект
weave|ткать, плести
mend|чинить, ремонтировать
scene|действие, картина, сцена
branch|ветвь, отрасль
western|западный
upon|на
burlap|холст, мешковина
roam|бродить, скитаться
binary|Набор из двух предметов
spoons|ложки
embark|садиться на корабль
roar|реветь, орать, хохотать
thorpe|Торп
shawl|платок, шаль
joy|радость
vehicle|транспортное средство
thought|думал, обдуманный , мысль
easily|легко
road|дорога
space|пространство, место, космос
express|экспресс, выражать
villain|злодей, негодяй
brandy|коньяк, бренди
pyjamas|пижама
joe|кофе
reside|жить, проживать
endless|бесконечный
rather|скорее, лучше
painter|художник
trading|торговля
speedy|быстрый, скорый
cranny|скважина, трещина
athlete|спортсмен, атлет
analyse|анализировать, разбирать
melt|таять
joan|Джоан
held|держал
ostrich|страус
fangs|Клыки
foster|воспитывать
hell|черт
toes|Пальцы ноги
helm|руль
spade|лопата, заступ
wailing|Вопящий
drowsy|сонный, дремлющий
recall|припомнить, отозвать
whale|кит
warning|предупреждение
truly|точно, правдиво, истинно, верно
swiftly|быстро
polite|любезный, вежливый
dish|блюдо
single|один, одинокий
monday|понедельник
disk|Диск
pierre|Пирр
entered|поступил
flung|бросал, швырял
mess|беспорядок, путаница
every|каждый
eight|восемь
disc|диск
shave|бриться, бритье, подстригать
jim|Джим
mule|мул, тупица, гибрид, туфля без задников
whine|визг, скулить
muscles|Мускулы
pray|молить
sleepy|сонный, сонливый
writer|писатель
dirt|грязь
younger|моложе
wrap|завертывать, шаль, плед, обертка
joint|совместный, объединенный
hero|герой
clothes|одежда
easier|Более легкий
thorny|колючий, тернистый n
hers|ее
defiant|вызывающий, дерзкий
here|здесь, вот
finger|палец
chevy|охота, погоня, гнаться
groan|стон, стонать
trunk|ствол, туловище
imitate|подражать
theatre|театр
herd|стадо
vain|напрасный, тщетный
violent|яростный
mere|простой
lodging|квартира, жилье
polish|лак
decay|гниение, разложение
greeted|приветствовал
coral|Коралл
chess|шахматы
chest|грудь
vale|прощание
disease|болезнь
grip|схватывание
blossom|цветок , расцветать
grin|ухмыляться, усмешка
while|пока, в то время как, тогда как
grim|жестокий, свирепый, мрачный
sight|зрелище, вид, заметить, разглядеть
alibi|Алиби
errand|поручение
toil|трудиться,  труд
drum|барабан
stephen|Стивен
develop|развивать
gifted|одаренный
tease|дразнить, задира
drug|лекарство, наркотик
rip|рвать
puzzle|приводить в затруднение, загадка
cyclist|велосипедист
adapted|Приспособленный
broom|метла, мести
alias|Псевдоним
brook|ручей
rumour|слух, молва
dive|нырять
rig|снаряжение, экипаж
slacken|ослаблять, ослабевать
dodge|уловка, хитрость
brood|высиживать , выводок
offer|предлагать
suffix|суффикс
tears|слёзы
rim|ободок
angela|Анжела
rib|ребро
rid|освобождать
fought|сражался
amber|янтарь, янтарный
naked|обнаженный, голый
advance|продвижение вперед, продвигать
sugar|сахар
enslave|порабощать
appear|появляться
donkey|осел
flow|течение, поток, разливаться, течь
its|его, ее
cave|пещера
lick|лизать
exactly|точно, именно
fury|неистовство
weighty|веский
shelter|приют, убежище
fluid|жидкий, жидкость
furs|меха
potter|Гончар
drink|напиток, пить
appeal|апелляция, апеллировать , обращаться
pier|пристань, мол, свая, бык
throat|горло
signs|знаки, вывески
cheat|обманывать, надувать, обманщик, плут
sour|раздражительный, сердитый, кислый
nowhere|нигде, никуда
futile|бесполезный, тщетный, пустой
horrid|ужасный
laugh|смех, смеяться
iso|Международная организация по стандартизации
fuse|плавить, перегорать
under|под
soul|душа, воплощение
fuss|суета; суетиться, беспокоиться, хлопотать
goodbye|прощание
prey|жертва
suggest|предлагать, советовать
soup|суп
teams|команды
loaded|загруженный
system|система
thirty|тридцать
yonder|вон тот
favor|Польза
boxing|бокс
cheap|дешевый
rye|рожь
patrol|патруль
press|гладить, сжимать, нажимать, печать, пресса
sort|сорт, род, вид, сортировать
rug|ковер
charley|Чарли
lively|живой, оживленный
minimum|минимум
dimly|смутно
advise|советовать
charles|Чарльз
ivy|плющ
run|бегать, двигаться, бег, движение, направление
rum|ром, странный
odds|разница, неравенство
laundry|прачечная, стирка
iron|железо, утюг
perry|Перри
sore|больной, воспаленный
life|жизнь
truth|правда, истина
worked|работал, сработанный
rut|колея, привычка
moscow|Москва
worker|рабочий
pick|собирать, подбирать, выбирать
helium|Гелий
canteen|столовая
pinch|щипать, прищемить, щипок
bridle|узда, повод, взнуздывать
builds|Строит
trust|доверять, доверие, вера
rates|стоит
thirst|жажда
medium|средство, середина
gland|железа
remain|оставаться
insult|оскорбление
world|мир, свет
baggage|багаж
lateral|Боковой
wounded|раненый
cartoon|мультфильм
become|становиться
thicket|Чаща
shoved|Пихал
bowed|Поклонился
must|должен, надо
soot|сажа
removal|перемещение
cheeky|развязный
curious|любознательный
friends|друзья
care|заботиться, переживать
card|карточка
moist|сырой, влажный
deplore|сожалеть
demand|требовать
mute|немой
vase|ваза
agreed|согласился
spare|уделять, лишний, запасный
saved|спасал
indexes|Индексы
cart|телега, повозка
spark|искра
vary|отличаться, расходиться
upgrade|Модернизировать
tourist|турист
railway|железная дорога
cast|бросать, ронять, менять
mingled|Смешанный
soothe|успокаивать, утешать, облегчать
shovel|лопата
rub|тереть, стирать, трение
cash|деньги
shabby|потрепанный, поношенный
case|случай, состояние
teacher|учитель
thumb|большой палец
medal|медаль
oldest|старший, самый старый
early|рано
ailing|больной
softly|мягко, нежно
attempt|пробовать, пытаться, попытка
song|песня
walking|гуляющий
repulse|отражать , отвергать, отталкивать, отпор
impure|нечистый, грязный, с примесью
garment|одежда, одеяние
liar|лгун
regions|Области
acute|острый, проницательный
spared|Сэкономленный
cats|Коты
breach|брешь, пробивать брешь
pursue|преследование
lustre|блеск, лоск, глянец, люстра
vast|обширный, громадный
pigs|Свиньи
drill|дрель, тренировать
mercy|милость
beneath|под, ниже, внизу
chip|обломок, осколок
chin|подбородок
counter|прилавок, противостоять, противиться
walnut|грецкий орех
reign|царить, господствовать
helped|помогал
bending|Изгиб
torrent|поток
soon|скоро, рано
alarm|тревога,
seven|семь
charge|плата, стоимость, взимать плату
disdain|презирать, пренебрегать; презрение, пренебрежение
sons|сыновья
giant|гигант, гигантский
gloomy|мрачный
birth|рождение
caleb|Калеб
sterile|бесплодный
bates|Убавляет
sad|печальный
amazed|изумлённый, поражённый
cane|трость, палка
feels|Чувства
zero|ноль
feather|предмет гордости, достижение
sam|Сэм
ridge|горный хребет, гребень
jest|шутка; шутить, высмеивать
draw|рисовать
pins|значки
camp|лагерь
stock|запас, снабжать
sadly|печально
reform|улучшать, реформа
guards|Охраны
drive|водить машину, ехать на машине
carbon|углерод
slept|спал
pink|розовый
working|делающий, творящий
pine|сосна
sole|подошва, подметка; ставить подметку
sold|продавал, проданный
topic|тема
charms|Обаяния
elapse|проходить
matters|дела, материалы
like|любить, нравиться, похожий, подобный
topple|валиться
sap|сок ; подрывать
relieve|облегчать
visual|зрительный, наглядный
sat|сидел
cabbage|капуста
grown|выращенный
growl|рычать, ворчать; рычание, ворчание
say|сказать, говорить
closure|закрытие
bearing|Отношение
saw|видел, смотрел
toss|толчок, сотрясение, кидать, бросать
some|немного, несколько
dance|танцевать
outside|снаружи, наружный
stream|ручей, поток
scarlet|алый
avenge|мстить
cape|мыс
inhabit|жить, обитать
link|соединять, соединить
line|линия, специальность
growled|Рычал
bathe|купаться
words|слова
revert|возвращаться
pile|куча, груда, кипа, пачка
opposed|Противопоставленный
limp|хромота, прихрамывать
jerk|резкий толчок, подергивание; резко толкать, дергать
kitten|котенок
resolve|решать
corner|угол
drag|тащить
hoist|поднимать
prop|подпорка, опора, подпирать
crying|кричащий
lime|известь
injure|ушибиться -e
dandy|нарядный, великолепный
limb|конечность
remind|напоминать, напомнить
jumper|джемпер
arrange|устраивать, договариваться
broken|разбитый, сломанный, нарушенный, ломаный
lily|лилия
antony|Энтони
mamma|Мама
snoop|подсматривать
jumped|прыгал
pike|щука
injury|телесное повреждение
beacon|сигнальный огонь, маяк
brother|брат
tour|путешествие, тур
horror|ужас
snore|храпеть, храп
purse|кошелек
elton|Эльтон
remark|замечать, замечание
trumpet|труба
tidying|уборка
heat|жара
stalls|кресла в партере
anchor|якорь
bellamy|Беллами
bicycle|велосипед
habits|Привычки
heap|куча
hear|слышать
differs|Отличается
toward|к, на
police|полиция
heal|излечивать
budge|шевелиться
fund|фонд
head|голова, главный, руководить
drew|рисовал
sure|уверенный, убедиться, безусловно
cake|торт
cheer|настроение
nasty|скверный, плохой
frolic|веселиться, проказничать
exclaim|восклицать
jeanne|Джин
wants|хочет, желает, нуждается в
cheek|щека
soften|смягчать
dwarf|карлик, гном
hearing|слух
batch|выпечка, партия, группа
lift|поднимать, подъемник, лифт
policy|политика
town|город
diagram|диаграмма, схема
beech|бук
golden|золотой, золотистый
soil|почва
gurgle|бульканье
calm|успокаивать
call|звонить, называть
gross|большой
paper|бумага, газета
calf|слоненок, теленок, молодой кит
ruling|правящий
parked|Припаркованный
remiss|небрежный, вялый
pipe|труба
hanging|подвешивание
sofa|диван
another|еще один, другой
rider|наездник, всадник
raymond|Раймонд
full|полный
noisy|шумный
crackle|хрустеть, потрескивать
finding|находка, открытие, решение
glass|стакан, бокал
august|август
making|создание, становление
resumed|Возобновленный
chimney|труба
sixteen|шестнадцать
check|проверять, регистрировать
century|столетие, век
glare|сверкать
jeans|джинсы
came|пришел
teach|обучать, преподавать
soft|мягкий, тихий
noise|шум
riches|богатство, изобилие
deprive|лишать, отбирать
toys|игрушки
target|задание
facing|сидящий лицом
furious|взбешенный, бешеный, неистовый
pillar|колонна, столб
group|группа
average|средний
formula|формула
blessed|благословлённый
harass|беспокоить
abode|местопребывание, жилище
freedom|свобода
dudley|Дадли
visit|визит, посещать, навещать
lessen|уменьшать
wait|ждать, ожидать, ожидание
kid|ребенок
wail|вопль, вой, вопить, выть
located|Расположенный
turnip|репа
she|она
began|начинал, начал
partner|участник
black|черный
kit|ранец, багаж
asked|просил, требовал
limits|Пределы
moving|трогательный
death|смерть
awoke|будил
cleaned|чистил,
elliot|Эллиот
madame|Мадам
further|дальнейший, дополнительный
towns|Города
beaker|кубок, чаша
impress|производить впечатление
view|взгляд, мнение, осматривать
soap|мыло
explain|объяснять
owners|Владельцы
tunnel|тоннель
deserve|заслуживать
decent|приличный, скромный
pillow|подушка
acacia|акация
wizard|колдун, специалист своего дела
ocean|океан
acclaim|провозглашать
adhere|прилипать, приставать  , приклеиваться, хвататься
percy|Перси
six|шесть
naive|наивный
debris|обломки, развалины
wage|заработная плата
midday|полдень
smoking|курение
acted|Действовал
plains|Равнины
france|Франция
joining|соединение
italy|Италия
skirt|юбка
sunk|Погруженным
racket|ракетка
integer|Целое число
thou|Вы
glimpse|мелькание, мельком взглянуть
shy|застенчивый, робкий
blocks|кварталы
boat|лодка, пароход
sock|носок
sit|сидеть, заседать, годиться
amazing|Удивительный
history|история
sir|сэр
forever|вечно
hookup|Соединение
deeper|Глубже
conform|соответствовать, подчиняться
sunset|закат
sin|грех, грешить
smashed|Разбитый
nothing|ничто, ничего
hannah|Ханна
scenery|декорации
elderly|пожилой
bound|непременный, обязательный
warrant|полномочие, ордер, гарантировать
edition|издание
body|тело
babble|бормотание, болтовня
muggy|теплый, влажный, удушливый
stupid|глупый
enough|достаточный
aged|старый, в возрасте
mishap|неудача
brisk|живой, проворный
paying|платеж
light|свет, освещение, фара, освещать, зажигать
key|ключ
oneself|себя
bedside|постель
german|Немец
wagon|повозка
eager|нетерпеливый
subdued|подавленный
script|сценарий
agent|деятель, исполнитель
fleet|флот
saddle|седло, седлать
tooth|зуб
better|лучше
deity|божество
against|против
cove|сооружать
sprout|пускать ростки; отросток, побег
noises|Шумы
bible|библия
walk|гулять, ходить пешком
wall|стена
coarse|грубый
sew|шить
sex|пол
saying|говорящий
barge|баржа
merry|веселый, радостный
vice|порок
ruby|рубиновый
monarch|монарх
set|класть, ставить, помещать, комплект
shrill|резкий, пронзительный
plural|множественное число
flying|летающий, летный
wake|будить, просыпаться
stems|Стебли
artist|художник
society|общество
shrimp|креветка
edit|редактировать
funny|смешной, забавный
sea|море, океан
landed|земельный
czar|Царь
throng|толпиться, переполнять
throne|трон
anew|снова, заново
see|видеть, встретиться
wedding|свадьба, венчание
suit|костюм, подходить, устраивать
laying|Наложение
beasts|звери
outlaw|человек вне закона, изгнанник
salts|Соли
fringe|бахрома, край
manages|ухитряется
william|Уильям
they|они
scorn|презрение, презирать
parking|стоянка
concert|концерт
fell|упал
recipe|рецепт
manager|управляющий
yield|приносить
spy|шпион, шпионить
nine|девять
concern|забота
collar|воротник
glide|скользить, планировать
halted|Приостановленный
score|счет, отметка, выигрывать
peril|опасность
mariner|моряк
actor|актер
council|совет, совещание
chew|жевать
skinner|погонщик
dough|тесто
deliver|доставлять, передавать
weekend|выходные
combine|объединять
buyer|покупатель
embrace|обнимать, включать
cradle|колыбель, убаюкивать
worth|стоящий, заслуживающий
frosty|морозный
pigeon|голубь
shades|оттенки
lesson|урок
twelfth|двенадцатый
sow|сеять
church|церковь
windy|ветреный
vine|виноградная лоза
son|сын
stripes|Полосы
emotion|возбуждение
earlier|Ранее
skill|мастерство
russian|русский
them|их
then|тогда, потом, затем
erring|грешный, заблудший
records|пластинки
winds|Ветры
thee|Вас
sob|рыдание
raised|рельефный
subject|предмет, содержание, подчинять
merge|Слиться
plenty|изобилие, избыток, вполне, довольно
mantle|покрывать, окутывать
hammer|молоток
looking|смотрящий
oysters|устрицы
striped|полосатый
counsel|обсуждение, совет, решение, адвокат
ashore|на берег
usual|обыкновенный, обычный
polar|полярный
jacket|куртка
birch|береза, розга
scout|разведчик
hotter|жарче
intake|поглощение
larger|Больший
stern|строгий
darted|Брошенный
beings|Существа
hunter|охотник
kindly|добрый, добродушный, ласково, любезно
tobacco|табак
within|внутри, внутрь
design|проектировать, спроектировать
eerie|Жуткий
cause|дело, причина
second|второй, помощник, секунда
char|Случайная работа
permit|разрешать
chap|парень , малый
deeply|глубоко
firmly|твердо, решительно
study|учиться, изучать, заниматься, исследование, кабинет
chat|беседа, болтовня
middle|средний
deserts|заслуги
beloved|любимый
wager|держать пари, рисковать
pitiful|жалкий, ничтожный
looks|выглядит
sky|небо
level|уровень
wings|крылья
gather|собираться
sets|декорации
arctic|полярный, арктический
lever|рычаг
trials|Испытания
faults|Ошибки
ski|ходить на лыжах
such|такой
escort|охрана
doubt|сомнение, сомневаться
suck|сосать
minims|Мельчайшая частица, очень маленькая доля, капля
league|союз, лига
wade|пробираться, продираться
terrace|терраса
stuff|вещество, материал, заполнять, набивать
blouse|блуза
mother|мама
bough|ветвь, сук
gulped|Проглоченный
thin|тонкий, худощавый
bridge|мост
this|этот, это
release|освобождение, освобождать
mining|горный
concept|концепция, понятие, идея
bamboo|бамбук
scope|пределы
becomes|становится
cheese|сыр
affect|влиять, трогать, вредить
awful|ужасный
bellow|мычание, греметь, громыхать
swept|подметал
steve|Стив
real|реальный, настоящий
baron|Барон
poverty|бедность
induced|Вынужденный
read|читать
applet|Апплет
various|различный, разный
treated|лечил
stuck|воткнул, приклеил
seats|места
cheers|да здравствует
apples|яблоки
colored|Цветной
worst|наихудший
coach|тренировать, инструктор
shriek|кричать, вскрикнуть, пронзительный крик
rear|задняя часть
esteem|уважать, почитать, уважение
offence|обида
taught|обучал, обученный
harriet|Гарриет
jackal|шакал
stuffy|душный
worse|хуже
merit|достоинство
away|прочь
sly|хитрый
bleach|белить
felt|чувствовал
clasped|Сжатый
sprang|Прыгал
loosen|развязывать, распускать, ослаблять
fossil|ископаемое
curdle|свертываться
eating|прием пищи, еда
wrong|неправильный, не тот
runner|бегун
worry|беспокоиться
occupy|занимать, завоёвывать
grunt|хрюкать, хрюканье
skins|Кожи
guide|гид, экскурсовод
cleanup|Уборка
passed|прошел
braces|подтяжки
fight|бороться, бой
redeem|выкупать, искупать, выполнять
rung|ступенька, спица колеса
wrote|писал, написанный
saviour|спаситель
intrude|вторгаться, вмешиваться, навязываться
vanish|исчезать, пропадать
occurs|Происходит
showed|показал
bustle|суетиться, суматоха, суета
danced|танцевал
hooter|Гудок
scheme|проект
reduced|Уменьшенный
heroism|героизм, доблесть
snow|снег, падать
stamps|марки
points|Пункты
dictum|изречение, поговорка
conceit|самомнение
happen|случаться, происходить
murmur|шорох, шепот
clank|бряцать, хлопать в ладоши
brain|мозг
piece|кусок
turn|поворачивать, вращать, оборот, поворот, очередь
monster|чудовище
turk|Турок
builder|строитель
turf|дерн
dropped|потерянный, пролитый
afraid|испуганный
crime|преступление, преступность
shower|душ, ливень
twelve|двенадцать
fellow|человек, парень, приятель
guarded|Охраняемый
born|рожденный
rhyme|рифма, рифмовать
common|общий
woollen|шерстяной
bore|скука
undress|раздеваться
worlds|Миры
floored|поставил в тупик, сразил
wavy|волнистый, бурный
laden|Груженый, нагруженный, обремененный
figure|фигура
habit|привычка
josie|Джоси
civil|гражданский
grater|терка
seeds|Семена
crisis|кризис, перелом
bricks|кубики
rounded|Округленный
bliss|блаженство, счастье
surplus|излишек
comely|хорошенький, миловидный
mostly|главным образом
direct|прямой, руководить
stammer|заикаться, запинаться
reed|тростник, камыш
dolls|Куклы
absence|отсутствие
erect|строить
later|позже
parrot|попугай
boss|начальник
poured|Лил
reel|катушка, барабан
fault|вина, недостаток, ошибка
swindle|обман, обманывать, надувать
seller|торговец
dashed|брошенный
lucky|счастливый, удачный
clamp|складывать, скреплять
mixture|микстура
runs|Пробега
oblige|обязывать
feat|подвиг, ловкость, искусство
freeman|полноправный гражданин
scold|бранить, ругать
fear|страх, опасение, бояться, опасаться
salad|салат, винегрет
relate|относиться, связывать
detain|задерживать, удерживать
detail|деталь
envious|завистливый
both|оба
knitted|вязанный, трикотажный
terms|личные отношения, условия соглашения
album|альбом
wailed|Вопил
loose|свободный
abrupt|резкий, внезапный, крутой, обрывистый
confer|обсуждать, совещаться; вести переговоры с
after|после
commit|совершать
cherish|лелеять
soviet|Советский
eldest|старший
jug|кувшин
tennis|теннис
fruit|фрукты
stump|пень
latch|запирать
unable|неспособный
white|белый
horizon|горизонт
bout|черед, круг
willing|готовый, охотно делающий что-либо
worthy|достойный
that|это, тот, та, то
pearl|жемчуг, жемчужный
than|чем
recite|рассказывать, перечислять
thence|Отсюда
races|Гонки
pears|груши
thaw|оттепель
sue|преследовать судебным порядком, возбуждать дело в суде
cries|Крики
model|модель
humble|скромный
brick|кирпич
about|о
sum|сумма, подводить итог
draught|сквозняк, набросок, черновик
sun|солнце
ruth|жалость, сочувствие, участие, сострадание
elder|старший
disgust|отвращение, вызывать отвращение
norris|Норрис
grumble|ворчать
vanity|тщеславие
brace|связывать, скреплять
clutch|захват
above|над, выше, наверху
fearful|страшный
feed|кормить
severe|суровый, жестокий
accent|подчеркивать, произносить
rust|ржавчина, ржаветь
bride|невеста
honour|честь
ominous|зловещий
bowl|кубок, чаша
feel|чувствовать
rush|устремляться, бросаться, мчаться
cease|прекращать, останавливать
promise|обещать
feet|ноги, ступни
punish|наказывать, наказать
descent|спуск, склон, десант, происхождение
climax|кульминационный пункт
variety|разнообразие
sauce|соус, приправа, поливать соусом
ruse|уловка, хитрость
plainly|Явно
organic|органический
blink|мерцание, отблеск, блеснуть, моргать
flaming|Пылающий
beaten|битый
whoever|кто бы ни
outdoor|на открытом воздухе
grow|расти
service|сервис, обслуживание
circuit|кругооборот, окружность
relish|вкус, привкус, смаковать
descend|спускаться
claim|требовать
tight|плотный, крепкий, тугой
blind|слепой
brief|короткий, сводка, резюме
gleamed|Мерцал
sword|меч, шпага, сабля
malice|злоба
selfish|эгоистичный
tag|бирка, ярлык
accept|принимать
toddle|ковыляние, прогуливаться
cuckoo|кукушка
tab|петелька
dial|набирать номер
bring|приносить, приводить
corrupt|испорченный, развращенный, продажный
sailor|матрос
conceal|скрывать, утаивать
hopper|Бункер
whisper|шепот, шептать
ancient|древний
farmer|фермер
weather|погода
false|ложный
hopped|Прыгал
choose|выбирать
rubbing|Протирка
rooms|комнаты
wine|вино, винный, пить вино
wind|ветер, виток, виться, наматывать
rude|грубый, резкий, невоспитанный
wing|крыло
ported|Перенесенный, транспортированный
wishes|пожелания
wink|моргать, мигать, моргание, мигание
prevent|предотвращать, препятствовать
porter|носильщик
banged|ударенный
boil|кипятить, кипеть
traced|Прослеженный
soldier|солдат
shrine|сохранять
ward|опека
tax|налог
coins|монеты
flesh|тело, плоть, мясо
shrink|отпрянуть, садиться
tar|смола, деготь; мазать дегтем, смолить
nails|ногти
tap|постучать
doorway|дверной проем
episode|эпизод
tiger|тигр
comedy|комедия
knights|Рыцари
traces|Следы
failed|потерпел неудачу, не удалось
boiled|вареный, кипяченый
sphere|сфера
rarely|редко
wand|Палочка
title|заглавие, титул
tinker|Ремесленник
latter|последний
mirth|веселье, радость
length|длина
rent|брать напрокат, снимать жилье, квартирная плата
knees|колени
boiler|котел
want|хотеть, желать, нуждаться в
steak|бифштекс
hence|следовательно
steal|воровать
concede|уступать, допускать
smartly|ловко
rely|полагаться, доверять
edge|край, точить
crisp|хрустящий картофель
heaven|небо, небеса, бог, провидение
warily|осторожно
luckily|к счастью
wipe|вытирать
ankle|щиколотка, лодыжка
access|доступ, подход, доступность
wholly|полностью
stun|оглушать
barrow|носилки
stud|запонка
brand|головня, клеймо, фабричная марка, сорт, клеймить
summit|вершина
based|Основанный
steam|пар
goose|гусь
users|Пользователи
bolt|молния
hated|ненавидел
diet|диета
wish|желание, желать
wise|мудрый
ruin|гибель
renew|обновлять
anyway|во что бы то ни стало
tools|инструменты
bennet|Беннет
bold|смелый
died|умер, умерший
halfway|на полпути
philip|Филип
dwight|Дуайт
custom|обычай
accuse|обвинять
murder|убийство
succeed|достигать цели
eagle|орел
hooker|Проститутка
clasp|прижимать
wire|переводить телеграфом
turner|токарь
tinkle|звон, звяканье
class|класс
sense|чувство, здравый смысл, чувствовать
staying|остающийся, живущий
bully|запугивать
winning|выигрывающий, победа
pierce|пронзать, протыкать, пронизывать, проникать
blades|Лезвия
window|окно, оконный
popular|популярный
bomb|бомба, бомбить
wave|волна
beating|поражение
summon|вызывать
hatch|высиживать
rest|остальное, остальные, остаток
clash|столкновение, конфликт
bidding|понижение цены
friend|друг
warn|предупреждать
stop|остановка, перестать, остановиться
warm|теплый, согревать
voice|голос
leaped|Прыгал
harbour|гавань
wars|Войны
stocks|Акции
reared|Воздвигнутый
pretty|хороший, значительный
merely|единственно
coast|побережье
doubts|Сомнения
during|во время
cunning|хитрость, хитрый, коварный
wary|осторожный
sunny|солнечный
triple|тройной
rule|правило, принцип, норма, управлять, решать
bone|кость
bulky|громоздкий
meat|мясо, мясной
wash|мыть, стирать, мытье, стирка
dick|Дик
rhythm|ритм
mean|означать
baker|пекарь, булочник
brake|тормоз
meal|еда, есть, принимать пищу
office|офис, контора
marine|морской флот, морской
with|с
boot|ботинок, сапог
mistake|ошибка
wasp|оса
desire|желание
flowing|течение
matter|дело, сущность, материал
steep|крутой
gesture|жест
steel|сталь
rules|правила
coats|Пальто
ruler|линейка, правитель
stocky|коренастый, низкий, приземистый
manual|ручной
wits|Остроумие
rubbish|ерунда, мусор
observe|наблюдать, замечать
steer|править
entry|вход
book|книга, покупать
anna|Анна
humbug|обманщик, ханжа
anne|Энн
sally|поездка, прогулка
literal|буквальный
blazing|Сверкание
bright|ясный
praised|хвалил
tend|иметь тенденцию
bacon|бекон
parts|части
smoked|курил
party|вечеринка, группа
spoke|говорил, говоривший
colour|цвет
mallet|деревянный молоток
ironic|иронический
created|Созданный
flutter|махать
tent|палатка
salary|оклад
